title,artist,top genre,year,bpm
Memories,Maroon 5,pop,2019,91
Lose You To Love Me,Selena Gomez,dance pop,2019,102
Someone You Loved,Lewis Capaldi,pop,2019,110
Se&ntilde;orita,Shawn Mendes,canadian pop,2019,117
How Do You Sleep?,Sam Smith,pop,2019,111
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98
Trampoline (with ZAYN),SHAED,electropop,2019,127
Happier,Marshmello,brostep,2019,100
Truth Hurts,Lizzo,escape room,2019,158
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96
Higher Love,Kygo,edm,2019,104
Only Human,Jonas Brothers,boy band,2019,94
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93
Sucker,Jonas Brothers,boy band,2019,138
Don't Call Me Up,Mabel,dance pop,2019,99
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122
Takeaway,The Chainsmokers,electropop,2019,100
All Around The World (La La La),R3HAB,big room,2019,125
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125
Call You Mine,The Chainsmokers,electropop,2019,104
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96
Con Calma - Remix,Daddy Yankee,latin,2019,94
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114
Kills You Slowly,The Chainsmokers,electropop,2019,150
